"species_id","class","order","family","genus","species","common","sci_name"
15194,"Mammalia","Artiodactyla","Bovidae","Gazella","spekei","Speke's Gazelle","Gazella spekei"
15195,"Mammalia","Artiodactyla","Bovidae","Gazella","subgutturosa","Goitered Gazelle","Gazella subgutturosa"
15250,"Mammalia","Artiodactyla","Bovidae","Hemitragus","hylocrius","Nilgiri Tahr","Hemitragus hylocrius"
15251,"Mammalia","Artiodactyla","Bovidae","Hemitragus","jayakari","Arabian Tahr","Hemitragus jayakari"
15252,"Mammalia","Artiodactyla","Bovidae","Hemitragus","jemlahicus","Himalayan Tahr","Hemitragus jemlahicus"
15291,"Mammalia","Artiodactyla","Bovidae","Hippotragus","equinus","Roan Antelope","Hippotragus equinus"
15293,"Mammalia","Artiodactyla","Bovidae","Hippotragus","niger","Sable Antelope","Hippotragus niger"
15298,"Mammalia","Artiodactyla","Bovidae","Kobus","ellipsiprymnus","Waterbuck","Kobus ellipsiprymnus"
15299,"Mammalia","Artiodactyla","Bovidae","Kobus","kob","Kob","Kobus kob"
15300,"Mammalia","Artiodactyla","Bovidae","Kobus","leche","Lechwe","Kobus leche"
15301,"Mammalia","Artiodactyla","Bovidae","Kobus","megaceros","Nile Lechwe","Kobus megaceros"
15302,"Mammalia","Artiodactyla","Bovidae","Kobus","vardonii","Puku","Kobus vardonii"
15197,"Mammalia","Artiodactyla","Bovidae","Litocranius","walleri","Gerenuk","Litocranius walleri"
15198,"Mammalia","Artiodactyla","Bovidae","Madoqua","guentheri","Gⁿnther's Dik-dik","Madoqua guentheri"
15199,"Mammalia","Artiodactyla","Bovidae","Madoqua","kirkii","Kirk's Dik-dik","Madoqua kirkii"
15200,"Mammalia","Artiodactyla","Bovidae","Madoqua","piacentinii","Silver Dik-dik","Madoqua piacentinii"
15201,"Mammalia","Artiodactyla","Bovidae","Madoqua","saltiana","Salt's Dik-dik","Madoqua saltiana"
15253,"Mammalia","Artiodactyla","Bovidae","Naemorhedus","baileyi","Red Goral","Naemorhedus baileyi"
15254,"Mammalia","Artiodactyla","Bovidae","Naemorhedus","caudatus","Chinese Goral","Naemorhedus caudatus"
15256,"Mammalia","Artiodactyla","Bovidae","Naemorhedus","goral","Goral","Naemorhedus goral"
95648,"Mammalia","Artiodactyla","Bovidae","Naemorhedus","griseus",NA,"Naemorhedus griseus"
15185,"Mammalia","Artiodactyla","Bovidae","Nanger","dama","Dama Gazelle","Nanger dama"
15188,"Mammalia","Artiodactyla","Bovidae","Nanger","granti","Grant's Gazelle","Nanger granti"
15193,"Mammalia","Artiodactyla","Bovidae","Nanger","soemmerringii","S÷mmerring's Gazelle","Nanger soemmerringii"
15202,"Mammalia","Artiodactyla","Bovidae","Neotragus","batesi","Dwarf Antelope","Neotragus batesi"
15203,"Mammalia","Artiodactyla","Bovidae","Neotragus","moschatus","Suni","Neotragus moschatus"
15204,"Mammalia","Artiodactyla","Bovidae","Neotragus","pygmaeus","Royal Antelope","Neotragus pygmaeus"
15259,"Mammalia","Artiodactyla","Bovidae","Oreamnos","americanus","Mountain Goat","Oreamnos americanus"
15205,"Mammalia","Artiodactyla","Bovidae","Oreotragus","oreotragus","Klipspringer","Oreotragus oreotragus"
95670,"Mammalia","Artiodactyla","Bovidae","Oryx","beisa",NA,"Oryx beisa"
15295,"Mammalia","Artiodactyla","Bovidae","Oryx","gazella","Gemsbok","Oryx gazella"
15206,"Mammalia","Artiodactyla","Bovidae","Ourebia","ourebi","Oribi","Ourebia ourebi"
15260,"Mammalia","Artiodactyla","Bovidae","Ovibos","moschatus","Muskox","Ovibos moschatus"
15261,"Mammalia","Artiodactyla","Bovidae","Ovis","ammon","Argali","Ovis ammon"
15263,"Mammalia","Artiodactyla","Bovidae","Ovis","canadensis","Bighorn Sheep","Ovis canadensis"
15264,"Mammalia","Artiodactyla","Bovidae","Ovis","dalli","Dall's Sheep","Ovis dalli"
15265,"Mammalia","Artiodactyla","Bovidae","Ovis","nivicola","Snow Sheep","Ovis nivicola"
15207,"Mammalia","Artiodactyla","Bovidae","Pantholops","hodgsonii","Chiru","Pantholops hodgsonii"
15297,"Mammalia","Artiodactyla","Bovidae","Pelea","capreolus","Common Rhebok","Pelea capreolus"
15277,"Mammalia","Artiodactyla","Bovidae","Philantomba","maxwellii","Maxwell's Duiker","Philantomba maxwellii"
15278,"Mammalia","Artiodactyla","Bovidae","Philantomba","monticola","Blue Duiker","Philantomba monticola"
15208,"Mammalia","Artiodactyla","Bovidae","Procapra","gutturosa","Mongolian Gazelle","Procapra gutturosa"
15209,"Mammalia","Artiodactyla","Bovidae","Procapra","picticaudata","Tibetan Gazelle","Procapra picticaudata"
15210,"Mammalia","Artiodactyla","Bovidae","Procapra","przewalskii","Przewalski's Gazelle","Procapra przewalskii"
15267,"Mammalia","Artiodactyla","Bovidae","Pseudois","nayaur","Bharal","Pseudois nayaur"
15268,"Mammalia","Artiodactyla","Bovidae","Pseudois","schaeferi","Dwarf Bharal","Pseudois schaeferi"
27781,"Mammalia","Artiodactyla","Bovidae","Pseudoryx","nghetinhensis",NA,"Pseudoryx nghetinhensis"
15211,"Mammalia","Artiodactyla","Bovidae","Raphicerus","campestris","Steenbok","Raphicerus campestris"
15212,"Mammalia","Artiodactyla","Bovidae","Raphicerus","melanotis","Cape Grysbok","Raphicerus melanotis"
15213,"Mammalia","Artiodactyla","Bovidae","Raphicerus","sharpei","Sharpe's Grysbok","Raphicerus sharpei"
15303,"Mammalia","Artiodactyla","Bovidae","Redunca","arundinum","Southern Reedbuck","Redunca arundinum"
15304,"Mammalia","Artiodactyla","Bovidae","Redunca","fulvorufula","Mountain Reedbuck","Redunca fulvorufula"
15305,"Mammalia","Artiodactyla","Bovidae","Redunca","redunca","Bohar Reedbuck","Redunca redunca"
15269,"Mammalia","Artiodactyla","Bovidae","Rupicapra","pyrenaica","Pyrenean Chamois","Rupicapra pyrenaica"
15270,"Mammalia","Artiodactyla","Bovidae","Rupicapra","rupicapra","Chamois","Rupicapra rupicapra"
15214,"Mammalia","Artiodactyla","Bovidae","Saiga","tatarica","Saiga","Saiga tatarica"
15289,"Mammalia","Artiodactyla","Bovidae","Sylvicapra","grimmia","Bush Duiker","Sylvicapra grimmia"
15228,"Mammalia","Artiodactyla","Bovidae","Syncerus","caffer","African Buffalo","Syncerus caffer"
91050,"Mammalia","Artiodactyla","Bovidae","Taurotragus","derbianus","Giant Eland","Taurotragus derbianus"
15229,"Mammalia","Artiodactyla","Bovidae","Taurotragus","equus",NA,"Taurotragus equus"
15230,"Mammalia","Artiodactyla","Bovidae","Taurotragus","oryx","Eland","Taurotragus oryx"
15231,"Mammalia","Artiodactyla","Bovidae","Tetracerus","quadricornis","Four-horned Antelope","Tetracerus quadricornis"
15232,"Mammalia","Artiodactyla","Bovidae","Tragelaphus","angasii","Nyala","Tragelaphus angasii"
15233,"Mammalia","Artiodactyla","Bovidae","Tragelaphus","buxtoni","Mountain Nyala","Tragelaphus buxtoni"
15234,"Mammalia","Artiodactyla","Bovidae","Tragelaphus","eurycerus","Bongo","Tragelaphus eurycerus"
15235,"Mammalia","Artiodactyla","Bovidae","Tragelaphus","imberbis","Lesser Kudu","Tragelaphus imberbis"
15236,"Mammalia","Artiodactyla","Bovidae","Tragelaphus","scriptus","Bushbuck","Tragelaphus scriptus"
15237,"Mammalia","Artiodactyla","Bovidae","Tragelaphus","spekii","Sitatunga","Tragelaphus spekii"
15238,"Mammalia","Artiodactyla","Bovidae","Tragelaphus","strepsiceros","Greater Kudu","Tragelaphus strepsiceros"
15109,"Mammalia","Artiodactyla","Camelidae","Camelus","bactrianus","Bactrian Camel","Camelus bactrianus"
15114,"Mammalia","Artiodactyla","Camelidae","Vicugna","vicugna","Vicugna","Vicugna vicugna"
15150,"Mammalia","Artiodactyla","Cervidae","Alces","alces","Moose","Alces alces"
15125,"Mammalia","Artiodactyla","Cervidae","Axis","axis","Chital","Axis axis"
15126,"Mammalia","Artiodactyla","Cervidae","Axis","calamianensis","Calamian Deer","Axis calamianensis"
15127,"Mammalia","Artiodactyla","Cervidae","Axis","kuhlii","Bawean Deer","Axis kuhlii"
15128,"Mammalia","Artiodactyla","Cervidae","Axis","porcinus","Hog Deer","Axis porcinus"
15151,"Mammalia","Artiodactyla","Cervidae","Blastocerus","dichotomus","Marsh Deer","Blastocerus dichotomus"
15152,"Mammalia","Artiodactyla","Cervidae","Capreolus","capreolus","Western Roe Deer","Capreolus capreolus"
15153,"Mammalia","Artiodactyla","Cervidae","Capreolus","pygargus","Eastern Roe Deer","Capreolus pygargus"
15132,"Mammalia","Artiodactyla","Cervidae","Cervus","elaphus","Elk","Cervus elaphus"
15135,"Mammalia","Artiodactyla","Cervidae","Cervus","nippon","Sika Deer","Cervus nippon"
15139,"Mammalia","Artiodactyla","Cervidae","Dama","dama","Fallow Deer","Dama dama"
15143,"Mammalia","Artiodactyla","Cervidae","Elaphodus","cephalophus","Tufted Deer","Elaphodus cephalophus"
15154,"Mammalia","Artiodactyla","Cervidae","Hippocamelus","antisensis","Peruvian Guemal","Hippocamelus antisensis"
15155,"Mammalia","Artiodactyla","Cervidae","Hippocamelus","bisulcus","Chilean Guemal","Hippocamelus bisulcus"
15142,"Mammalia","Artiodactyla","Cervidae","Hydropotes","inermis","Chinese Water Deer","Hydropotes inermis"
15156,"Mammalia","Artiodactyla","Cervidae","Mazama","americana","Red Brocket","Mazama americana"
95606,"Mammalia","Artiodactyla","Cervidae","Mazama","bororo",NA,"Mazama bororo"
15157,"Mammalia","Artiodactyla","Cervidae","Mazama","bricenii","Merioa Brocket","Mazama bricenii"
15158,"Mammalia","Artiodactyla","Cervidae","Mazama","chunyi","Dwarf Brocket","Mazama chunyi"
15159,"Mammalia","Artiodactyla","Cervidae","Mazama","gouazoupira","Gray Brocket","Mazama gouazoupira"
15160,"Mammalia","Artiodactyla","Cervidae","Mazama","nana","Pygmy Brocket","Mazama nana"
95607,"Mammalia","Artiodactyla","Cervidae","Mazama","pandora",NA,"Mazama pandora"
15161,"Mammalia","Artiodactyla","Cervidae","Mazama","rufina","Little Red Brocket","Mazama rufina"
95608,"Mammalia","Artiodactyla","Cervidae","Mazama","temama",NA,"Mazama temama"
27642,"Mammalia","Artiodactyla","Cervidae","Megamuntiacus","vuquangens",NA,"Megamuntiacus vuquangens"
15144,"Mammalia","Artiodactyla","Cervidae","Muntiacus","atherodes","Bornean Yellow Muntjac","Muntiacus atherodes"
15145,"Mammalia","Artiodactyla","Cervidae","Muntiacus","crinifrons","Black Muntjac","Muntiacus crinifrons"
15146,"Mammalia","Artiodactyla","Cervidae","Muntiacus","feae","Fea's Muntjac","Muntiacus feae"
15147,"Mammalia","Artiodactyla","Cervidae","Muntiacus","gongshanensis","Gongshan Muntjac","Muntiacus gongshanensis"
15148,"Mammalia","Artiodactyla","Cervidae","Muntiacus","muntjak","Indian Muntjac","Muntiacus muntjak"
95627,"Mammalia","Artiodactyla","Cervidae","Muntiacus","puhoatensis",NA,"Muntiacus puhoatensis"
27666,"Mammalia","Artiodactyla","Cervidae","Muntiacus","putaoensis",NA,"Muntiacus putaoensis"
15149,"Mammalia","Artiodactyla","Cervidae","Muntiacus","reevesi","Reeves's Muntjac","Muntiacus reevesi"
27667,"Mammalia","Artiodactyla","Cervidae","Muntiacus","rooseveltorum",NA,"Muntiacus rooseveltorum"
27668,"Mammalia","Artiodactyla","Cervidae","Muntiacus","sp.(Buhouang muntjak)",NA,"Muntiacus sp.(Buhouang muntjak)"
27669,"Mammalia","Artiodactyla","Cervidae","Muntiacus","Truongsonensis",NA,"Muntiacus Truongsonensis"
95628,"Mammalia","Artiodactyla","Cervidae","Muntiacus","vuquangensis",NA,"Muntiacus vuquangensis"
15162,"Mammalia","Artiodactyla","Cervidae","Odocoileus","hemionus","Mule Deer","Odocoileus hemionus"
15163,"Mammalia","Artiodactyla","Cervidae","Odocoileus","virginianus","White-tailed Deer","Odocoileus virginianus"
15164,"Mammalia","Artiodactyla","Cervidae","Ozotoceros","bezoarticus","Pampas Deer","Ozotoceros bezoarticus"
15129,"Mammalia","Artiodactyla","Cervidae","Przewalskium","albirostris","Thorold's Deer","Przewalskium albirostris"
15165,"Mammalia","Artiodactyla","Cervidae","Pudu","mephistophiles","Northern Pudu","Pudu mephistophiles"
15166,"Mammalia","Artiodactyla","Cervidae","Pudu","puda","Southern Pudu","Pudu puda"
15167,"Mammalia","Artiodactyla","Cervidae","Rangifer","tarandus","Caribou","Rangifer tarandus"
15131,"Mammalia","Artiodactyla","Cervidae","Rucervus","duvaucelii","Barasingha","Rucervus duvaucelii"
15133,"Mammalia","Artiodactyla","Cervidae","Rucervus","eldii","Eld's Deer","Rucervus eldii"
15130,"Mammalia","Artiodactyla","Cervidae","Rusa","alfredi","Visayan Spotted Deer","Rusa alfredi"
15134,"Mammalia","Artiodactyla","Cervidae","Rusa","marianna","Philippine Brown Deer","Rusa marianna"
15137,"Mammalia","Artiodactyla","Cervidae","Rusa","timorensis","Timor Deer","Rusa timorensis"
15138,"Mammalia","Artiodactyla","Cervidae","Rusa","unicolor","Sambar","Rusa unicolor"
15119,"Mammalia","Artiodactyla","Giraffidae","Giraffa","camelopardalis","Giraffe","Giraffa camelopardalis"
15120,"Mammalia","Artiodactyla","Giraffidae","Okapia","johnstoni","Okapi","Okapia johnstoni"
15105,"Mammalia","Artiodactyla","Hippopotamidae","Hexaprotodon","liberiensis","Pygmy Hippopotamus","Hexaprotodon liberiensis"
15107,"Mammalia","Artiodactyla","Hippopotamidae","Hippopotamus","amphibius","Hippopotamus","Hippopotamus amphibius"
15121,"Mammalia","Artiodactyla","Moschidae","Moschus","berezovskii","Chinese Forest Musk Deer","Moschus berezovskii"
15122,"Mammalia","Artiodactyla","Moschidae","Moschus","chrysogaster","Alpine Musk Deer","Moschus chrysogaster"
15123,"Mammalia","Artiodactyla","Moschidae","Moschus","fuscus","Dusky Musk Deer","Moschus fuscus"
95626,"Mammalia","Artiodactyla","Moschidae","Moschus","leucogaster",NA,"Moschus leucogaster"
15124,"Mammalia","Artiodactyla","Moschidae","Moschus","moschiferus","Siberian Musk Deer","Moschus moschiferus"
15086,"Mammalia","Artiodactyla","Suidae","Babyrousa","babyrussa","Babirusa","Babyrousa babyrussa"
15089,"Mammalia","Artiodactyla","Suidae","Hylochoerus","meinertzhageni","Giant Forest Hog","Hylochoerus meinertzhageni"
15087,"Mammalia","Artiodactyla","Suidae","Phacochoerus","aethiopicus","Desert Warthog","Phacochoerus aethiopicus"
15088,"Mammalia","Artiodactyla","Suidae","Phacochoerus","africanus","Warthog","Phacochoerus africanus"
15090,"Mammalia","Artiodactyla","Suidae","Potamochoerus","larvatus","Bushpig","Potamochoerus larvatus"
15091,"Mammalia","Artiodactyla","Suidae","Potamochoerus","porcus","Red River Hog","Potamochoerus porcus"
15092,"Mammalia","Artiodactyla","Suidae","Sus","barbatus","Bearded Pig","Sus barbatus"
15093,"Mammalia","Artiodactyla","Suidae","Sus","bucculentus","Viet Nam Warty Pig","Sus bucculentus"
15094,"Mammalia","Artiodactyla","Suidae","Sus","cebifrons","Visayan Warty Pig","Sus cebifrons"
27875,"Mammalia","Artiodactyla","Suidae","Sus","cebirfrons",NA,"Sus cebirfrons"
15095,"Mammalia","Artiodactyla","Suidae","Sus","celebensis","Celebes Wild Boar","Sus celebensis"
15097,"Mammalia","Artiodactyla","Suidae","Sus","philippensis","Philippine Warty Pig","Sus philippensis"
15098,"Mammalia","Artiodactyla","Suidae","Sus","salvanius","Pygmy Hog","Sus salvanius"
15099,"Mammalia","Artiodactyla","Suidae","Sus","scrofa","Wild Boar","Sus scrofa"
15101,"Mammalia","Artiodactyla","Suidae","Sus","verrucosus","Javan Pig","Sus verrucosus"
15102,"Mammalia","Artiodactyla","Tayassuidae","Catagonus","wagneri","Chacoan Peccary","Catagonus wagneri"
15103,"Mammalia","Artiodactyla","Tayassuidae","Pecari","tajacu","Collared Peccary","Pecari tajacu"
15104,"Mammalia","Artiodactyla","Tayassuidae","Tayassu","pecari","White-lipped Peccary","Tayassu pecari"
15115,"Mammalia","Artiodactyla","Tragulidae","Hyemoschus","aquaticus","Water Chevrotain","Hyemoschus aquaticus"
15116,"Mammalia","Artiodactyla","Tragulidae","Moschiola","meminna","Indian Spotted Chevrotain","Moschiola meminna"
15117,"Mammalia","Artiodactyla","Tragulidae","Tragulus","javanicus","Lesser Mouse-deer","Tragulus javanicus"
15118,"Mammalia","Artiodactyla","Tragulidae","Tragulus","napu","Greater Mouse-deer","Tragulus napu"
14933,"Mammalia","Carnivora","Ailuridae","Ailurus","fulgens","Red Panda","Ailurus fulgens"
14705,"Mammalia","Carnivora","Canidae","Atelocynus","microtis","Short-eared Dog","Atelocynus microtis"
14706,"Mammalia","Carnivora","Canidae","Canis","adustus","Side-striped Jackal","Canis adustus"
14707,"Mammalia","Carnivora","Canidae","Canis","aureus","Golden Jackal","Canis aureus"
14708,"Mammalia","Carnivora","Canidae","Canis","latrans","Coyote","Canis latrans"
14709,"Mammalia","Carnivora","Canidae","Canis","lupus","Gray Wolf","Canis lupus"
14710,"Mammalia","Carnivora","Canidae","Canis","mesomelas","Black-backed Jackal","Canis mesomelas"
14712,"Mammalia","Carnivora","Canidae","Canis","simensis","Simian Jackal","Canis simensis"
14713,"Mammalia","Carnivora","Canidae","Cerdocyon","thous","Crab-eating Fox","Cerdocyon thous"
14714,"Mammalia","Carnivora","Canidae","Chrysocyon","brachyurus","Maned Wolf","Chrysocyon brachyurus"
14715,"Mammalia","Carnivora","Canidae","Cuon","alpinus","Dhole","Cuon alpinus"
14720,"Mammalia","Carnivora","Canidae","Lycalopex","culpaeus","Culpeo","Lycalopex culpaeus"
95599,"Mammalia","Carnivora","Canidae","Lycalopex","fulvipes",NA,"Lycalopex fulvipes"
14721,"Mammalia","Carnivora","Canidae","Lycalopex","griseus","Argentine Gray Fox","Lycalopex griseus"
14722,"Mammalia","Carnivora","Canidae","Lycalopex","gymnocercus","Pampas Fox","Lycalopex gymnocercus"
14723,"Mammalia","Carnivora","Canidae","Lycalopex","sechurae","Sechura Fox","Lycalopex sechurae"
14724,"Mammalia","Carnivora","Canidae","Lycalopex","vetulus","Hoary Fox","Lycalopex vetulus"
14717,"Mammalia","Carnivora","Canidae","Lycaon","pictus","African Wild Dog","Lycaon pictus"
14718,"Mammalia","Carnivora","Canidae","Nyctereutes","procyonoides","Raccoon Dog","Nyctereutes procyonoides"
14719,"Mammalia","Carnivora","Canidae","Otocyon","megalotis","Bat-eared Fox","Otocyon megalotis"
14725,"Mammalia","Carnivora","Canidae","Speothos","venaticus","Bush Dog","Speothos venaticus"
14726,"Mammalia","Carnivora","Canidae","Urocyon","cinereoargenteus","Gray Fox","Urocyon cinereoargenteus"
14727,"Mammalia","Carnivora","Canidae","Urocyon","littoralis","Island Gray Fox","Urocyon littoralis"
14728,"Mammalia","Carnivora","Canidae","Vulpes","bengalensis","Bengal Fox","Vulpes bengalensis"
14729,"Mammalia","Carnivora","Canidae","Vulpes","cana","Blandford's Fox","Vulpes cana"
14730,"Mammalia","Carnivora","Canidae","Vulpes","chama","Cape Fox","Vulpes chama"
14731,"Mammalia","Carnivora","Canidae","Vulpes","corsac","Corsac Fox","Vulpes corsac"
14732,"Mammalia","Carnivora","Canidae","Vulpes","ferrilata","Tibetan Fox","Vulpes ferrilata"
14704,"Mammalia","Carnivora","Canidae","Vulpes","lagopus","Arctic Fox","Vulpes lagopus"
27932,"Mammalia","Carnivora","Canidae","Vulpes","macrotis",NA,"Vulpes macrotis"
14733,"Mammalia","Carnivora","Canidae","Vulpes","pallida","Pale Fox","Vulpes pallida"
14734,"Mammalia","Carnivora","Canidae","Vulpes","rueppelli","Rⁿppel's Fox","Vulpes rueppelli"
14735,"Mammalia","Carnivora","Canidae","Vulpes","velox","Swift Fox","Vulpes velox"
14736,"Mammalia","Carnivora","Canidae","Vulpes","vulpes","Red Fox","Vulpes vulpes"
14737,"Mammalia","Carnivora","Canidae","Vulpes","zerda","Fennec","Vulpes zerda"
14941,"Mammalia","Carnivora","Cryptoproctidae","Cryptoprocta","ferox","Fossa","Cryptoprocta ferox"
14942,"Mammalia","Carnivora","Cryptoproctidae","Eupleres","goudotii","Falanouc","Eupleres goudotii"
14943,"Mammalia","Carnivora","Cryptoproctidae","Fossa","fossana","Malagasy Civet","Fossa fossana"
14738,"Mammalia","Carnivora","Felidae","Acinonyx","jubatus","Cheetah","Acinonyx jubatus"
14739,"Mammalia","Carnivora","Felidae","Caracal","caracal","Caracal","Caracal caracal"
14740,"Mammalia","Carnivora","Felidae","Catopuma","badia","Bay Cat","Catopuma badia"
